Name,Preferred Subject,Age,Proficiency,name,age,subject,score
Robert Davis,Computer Science,14.0,1.0,,,,
Matthew Williams,Arts and Humanities,15.0,3.0,,,,
Michael Brown,Health,17.0,3.0,,,,
Christopher Lopez,Data Science,17.0,6.0,,,,
Karen Jones,Computer Science,13.0,8.0,,,,
Matthew Harris,Computer Science,16.0,9.0,,,,
William Lee,Computer Science,14.0,6.0,,,,
Elizabeth Williams,Personal Development,17.0,0.0,,,,
Kimberly Jackson,Information Technology,12.0,0.0,,,,
James Martin,Language Learning,14.0,8.0,,,,
David Anderson,Information Technology,16.0,3.0,,,,
Daniel White,Computer Science,18.0,4.0,,,,
Susan Lee,Language Learning,17.0,7.0,,,,
Elizabeth Robinson,Business,18.0,6.0,,,,
Anthony Martin,Personal Development,16.0,10.0,,,,
Mark Ramirez,Health,12.0,1.0,,,,
Susan Williams,Health,13.0,2.0,,,,
Michael Jones,Personal Development,17.0,10.0,,,,
Linda Jackson,Computer Science,15.0,8.0,,,,
Matthew Lopez,Math and Logic,12.0,10.0,,,,
Margaret Hernandez,Math and Logic,13.0,9.0,,,,
William Davis,Health,17.0,8.0,,,,
Sarah Lee,Information Technology,16.0,9.0,,,,
Jennifer Davis,Health,14.0,9.0,,,,
Emily Martin,Data Science,14.0,3.0,,,,
Joshua White,Arts and Humanities,13.0,0.0,,,,
Joshua Martinez,Math and Logic,17.0,10.0,,,,
Mary Ramirez,Physical Science and Engineering,18.0,7.0,,,,
Karen Miller,Health,18.0,4.0,,,,
Kimberly Martin,Business,18.0,6.0,,,,
Steven Miller,Arts and Humanities,12.0,1.0,,,,
Betty Martinez,Business,18.0,1.0,,,,
Patricia Sanchez,Computer Science,13.0,3.0,,,,
Jessica Thomas,Computer Science,12.0,9.0,,,,
Matthew Brown,Personal Development,14.0,9.0,,,,
Jessica Thomas,Language Learning,16.0,10.0,,,,
Joshua Williams,Information Technology,16.0,7.0,,,,
Kimberly Lewis,Physical Science and Engineering,18.0,9.0,,,,
James Lopez,Arts and Humanities,13.0,9.0,,,,
Christopher Jones,Computer Science,14.0,2.0,,,,
Matthew Ramirez,Information Technology,16.0,7.0,,,,
Andrew Wilson,Language Learning,14.0,1.0,,,,
Lisa Moore,Arts and Humanities,16.0,10.0,,,,
Barbara Harris,Language Learning,18.0,5.0,,,,
Donald Harris,Language Learning,18.0,6.0,,,,
Robert Smith,Business,12.0,0.0,,,,
Donna Williams,Business,15.0,3.0,,,,
James Rodriguez,Data Science,13.0,3.0,,,,
Susan Johnson,Health,18.0,8.0,,,,
Patricia Sanchez,Business,14.0,10.0,,,,
Betty Taylor,Business,13.0,7.0,,,,
Charles Lee,Personal Development,12.0,8.0,,,,
Steven Harris,Computer Science,13.0,8.0,,,,
Anthony Wilson,Physical Science and Engineering,12.0,10.0,,,,
Betty Williams,Arts and Humanities,16.0,5.0,,,,
Paul Moore,Computer Science,17.0,2.0,,,,
Michelle Jones,Language Learning,15.0,8.0,,,,
Sarah Williams,Data Science,17.0,5.0,,,,
Karen Williams,Personal Development,15.0,10.0,,,,
Steven Robinson,Language Learning,15.0,8.0,,,,
Susan Sanchez,Business,14.0,9.0,,,,
Elizabeth Moore,Health,16.0,8.0,,,,
Christopher Gonzalez,Arts and Humanities,15.0,6.0,,,,
Donna Lee,Physical Science and Engineering,15.0,8.0,,,,
Robert Martinez,Information Technology,14.0,10.0,,,,
Margaret White,Math and Logic,16.0,1.0,,,,
Jessica Johnson,Information Technology,14.0,8.0,,,,
Jessica Williams,Social Sciences,12.0,4.0,,,,
Margaret Brown,Social Sciences,17.0,3.0,,,,
Sandra Martin,Personal Development,14.0,9.0,,,,
Joshua Johnson,Computer Science,12.0,7.0,,,,
Karen Perez,Arts and Humanities,16.0,6.0,,,,
Barbara Brown,Business,15.0,3.0,,,,
James Thompson,Personal Development,17.0,0.0,,,,
William Thompson,Math and Logic,14.0,9.0,,,,
James Garcia,Health,17.0,0.0,,,,
Ashley Lopez,Arts and Humanities,16.0,10.0,,,,
Kimberly Taylor,Physical Science and Engineering,17.0,0.0,,,,
Thomas Garcia,Personal Development,13.0,7.0,,,,
Lisa Jones,Physical Science and Engineering,13.0,3.0,,,,
Sarah White,Data Science,12.0,7.0,,,,
Linda Harris,Business,16.0,9.0,,,,
Mary Hernandez,Computer Science,16.0,4.0,,,,
Margaret Rodriguez,Social Sciences,18.0,9.0,,,,
Kimberly Williams,Personal Development,17.0,9.0,,,,
Thomas Thompson,Computer Science,13.0,9.0,,,,
Andrew Lee,Computer Science,18.0,10.0,,,,
Robert Thomas,Language Learning,16.0,4.0,,,,
Sandra Taylor,Math and Logic,14.0,4.0,,,,
Lisa Johnson,Personal Development,18.0,5.0,,,,
Ashley Ramirez,Social Sciences,17.0,7.0,,,,
Andrew Garcia,Computer Science,16.0,10.0,,,,
Lisa Garcia,Language Learning,18.0,10.0,,,,
Thomas Harris,Social Sciences,15.0,10.0,,,,
Michael Lewis,Health,17.0,4.0,,,,
Andrew Perez,Health,16.0,4.0,,,,
Linda Davis,Arts and Humanities,18.0,4.0,,,,
Steven Smith,Language Learning,14.0,1.0,,,,
John Ramirez,Information Technology,12.0,0.0,,,,
James Davis,Physical Science and Engineering,16.0,7.0,,,,
John Thomas,Business,15.0,6.0,,,,
Lisa Gonzalez,Personal Development,13.0,9.0,,,,
Elizabeth Garcia,Data Science,13.0,2.0,,,,
John Moore,Arts and Humanities,17.0,6.0,,,,
Anthony Davis,Health,18.0,2.0,,,,
Christopher Davis,Data Science,13.0,6.0,,,,
Anthony Robinson,Data Science,13.0,10.0,,,,
Christopher Rodriguez,Health,15.0,5.0,,,,
Robert Jackson,Personal Development,12.0,4.0,,,,
Lisa Brown,Personal Development,17.0,10.0,,,,
Steven Perez,Language Learning,17.0,3.0,,,,
Patricia Garcia,Data Science,14.0,4.0,,,,
Joseph Sanchez,Computer Science,17.0,7.0,,,,
Kimberly Johnson,Health,16.0,5.0,,,,
Betty Williams,Information Technology,15.0,9.0,,,,
Sandra Ramirez,Social Sciences,17.0,1.0,,,,
Charles Harris,Physical Science and Engineering,16.0,6.0,,,,
Karen Hernandez,Physical Science and Engineering,18.0,0.0,,,,
Jennifer Moore,Arts and Humanities,14.0,4.0,,,,
Sandra Smith,Computer Science,13.0,3.0,,,,
Lisa Miller,Computer Science,15.0,5.0,,,,
Charles Jackson,Social Sciences,15.0,9.0,,,,
Karen White,Business,18.0,10.0,,,,
Michelle Davis,Social Sciences,15.0,8.0,,,,
Sandra Lopez,Data Science,14.0,3.0,,,,
Donna Thomas,Language Learning,16.0,9.0,,,,
Richard White,Language Learning,13.0,8.0,,,,
Paul Harris,Arts and Humanities,12.0,5.0,,,,
Jessica Jones,Business,18.0,10.0,,,,
James Robinson,Physical Science and Engineering,15.0,10.0,,,,
Anthony Smith,Math and Logic,13.0,9.0,,,,
Joseph Moore,Business,17.0,0.0,,,,
Daniel Lee,Physical Science and Engineering,12.0,7.0,,,,
James Hernandez,Health,15.0,9.0,,,,
James Harris,Information Technology,15.0,9.0,,,,
Matthew Ramirez,Arts and Humanities,13.0,6.0,,,,
Karen Brown,Arts and Humanities,18.0,5.0,,,,
Susan Taylor,Arts and Humanities,16.0,8.0,,,,
Jessica Wilson,Business,13.0,5.0,,,,
Ashley Johnson,Language Learning,17.0,7.0,,,,
Elizabeth Thompson,Computer Science,17.0,8.0,,,,
Sarah Williams,Computer Science,17.0,3.0,,,,
John Robinson,Data Science,12.0,10.0,,,,
Joseph Lewis,Arts and Humanities,14.0,7.0,,,,
Kimberly Wilson,Business,12.0,5.0,,,,
Lisa Anderson,Business,18.0,6.0,,,,
Jennifer Jackson,Health,16.0,10.0,,,,
Michael Taylor,Business,18.0,8.0,,,,
William Lee,Language Learning,18.0,1.0,,,,
Betty Williams,Health,12.0,6.0,,,,
Donna Jackson,Physical Science and Engineering,15.0,7.0,,,,
Patricia Wilson,Arts and Humanities,16.0,8.0,,,,
William Davis,Arts and Humanities,16.0,4.0,,,,
Charles Rodriguez,Personal Development,13.0,3.0,,,,
Christopher Robinson,Computer Science,14.0,4.0,,,,
Betty Thompson,Business,18.0,10.0,,,,
Christopher Hernandez,Arts and Humanities,13.0,0.0,,,,
Mark Rodriguez,Data Science,15.0,7.0,,,,
Joseph Williams,Math and Logic,18.0,3.0,,,,
Richard Jones,Information Technology,14.0,0.0,,,,
Donna Brown,Computer Science,18.0,7.0,,,,
Elizabeth Brown,Physical Science and Engineering,14.0,10.0,,,,
David Anderson,Health,16.0,10.0,,,,
Sandra Hernandez,Computer Science,14.0,1.0,,,,
Anthony Brown,Data Science,15.0,10.0,,,,
Paul Lopez,Health,16.0,7.0,,,,
Susan Anderson,Social Sciences,16.0,7.0,,,,
Karen Anderson,Physical Science and Engineering,16.0,6.0,,,,
Thomas Ramirez,Physical Science and Engineering,18.0,1.0,,,,
Linda Williams,Business,12.0,10.0,,,,
David Sanchez,Arts and Humanities,15.0,10.0,,,,
Karen Clark,Language Learning,13.0,3.0,,,,
Joshua Johnson,Language Learning,13.0,5.0,,,,
Susan Clark,Data Science,13.0,10.0,,,,
Christopher Jones,Arts and Humanities,15.0,0.0,,,,
Jennifer Thompson,Personal Development,17.0,10.0,,,,
Jessica Lopez,Computer Science,13.0,10.0,,,,
Betty Taylor,Information Technology,13.0,0.0,,,,
Patricia Perez,Math and Logic,17.0,7.0,,,,
Karen Rodriguez,Information Technology,15.0,8.0,,,,
Barbara Smith,Arts and Humanities,12.0,8.0,,,,
Betty Ramirez,Language Learning,15.0,3.0,,,,
Mark Moore,Math and Logic,16.0,6.0,,,,
Emily Davis,Data Science,16.0,9.0,,,,
Michael Anderson,Personal Development,16.0,2.0,,,,
Michael Sanchez,Health,12.0,2.0,,,,
William Brown,Language Learning,13.0,3.0,,,,
James Johnson,Social Sciences,13.0,3.0,,,,
Joseph Jones,Social Sciences,13.0,8.0,,,,
Richard Clark,Business,15.0,5.0,,,,
Betty Lopez,Computer Science,17.0,4.0,,,,
Jennifer Jackson,Health,18.0,0.0,,,,
Donna Rodriguez,Social Sciences,16.0,3.0,,,,
Robert Smith,Language Learning,12.0,3.0,,,,
Robert Miller,Business,12.0,6.0,,,,
Mark Sanchez,Language Learning,17.0,9.0,,,,
William Williams,Information Technology,18.0,9.0,,,,
Nancy Brown,Health,18.0,9.0,,,,
John Anderson,Physical Science and Engineering,18.0,5.0,,,,
Patricia Garcia,Social Sciences,15.0,2.0,,,,
Andrew Wilson,Health,14.0,8.0,,,,
Betty Thomas,Information Technology,18.0,5.0,,,,
Mary Gonzalez,Math and Logic,14.0,10.0,,,,
Margaret Garcia,Language Learning,18.0,0.0,,,,
Daniel Miller,Language Learning,18.0,2.0,,,,
Barbara Rodriguez,Data Science,17.0,3.0,,,,
Sarah Anderson,Arts and Humanities,16.0,1.0,,,,
Elizabeth Johnson,Business,17.0,2.0,,,,
Michelle Martin,Health,17.0,10.0,,,,
Michelle Davis,Health,15.0,6.0,,,,
Charles Thomas,Math and Logic,12.0,5.0,,,,
Anthony Lewis,Physical Science and Engineering,17.0,3.0,,,,
Emily Thomas,Personal Development,16.0,2.0,,,,
Patricia Williams,Computer Science,14.0,7.0,,,,
Sarah Gonzalez,Business,18.0,3.0,,,,
William Wilson,Computer Science,15.0,5.0,,,,
Richard Lee,Math and Logic,15.0,10.0,,,,
Kimberly Davis,Physical Science and Engineering,16.0,5.0,,,,
Paul Sanchez,Information Technology,14.0,1.0,,,,
Mary Gonzalez,Business,17.0,4.0,,,,
Daniel Thomas,Personal Development,14.0,9.0,,,,
Paul Sanchez,Business,12.0,7.0,,,,
Ashley Lopez,Language Learning,17.0,2.0,,,,
Andrew Taylor,Physical Science and Engineering,18.0,4.0,,,,
Christopher Gonzalez,Personal Development,15.0,9.0,,,,
Sarah Garcia,Personal Development,15.0,0.0,,,,
Mary Hernandez,Computer Science,15.0,3.0,,,,
Joshua Davis,Social Sciences,14.0,2.0,,,,
Mary Lewis,Social Sciences,14.0,2.0,,,,
Sarah Johnson,Personal Development,13.0,3.0,,,,
Donald Taylor,Data Science,16.0,4.0,,,,
Daniel Harris,Business,16.0,7.0,,,,
Donna Davis,Information Technology,12.0,7.0,,,,
David Brown,Social Sciences,18.0,1.0,,,,
Jessica Perez,Personal Development,18.0,4.0,,,,
Jessica Rodriguez,Data Science,16.0,6.0,,,,
Paul Clark,Arts and Humanities,16.0,9.0,,,,
Patricia Harris,Personal Development,16.0,5.0,,,,
Joseph Jackson,Personal Development,17.0,0.0,,,,
Matthew Lopez,Personal Development,12.0,9.0,,,,
Barbara Garcia,Math and Logic,18.0,3.0,,,,
Jessica Jackson,Arts and Humanities,15.0,5.0,,,,
Christopher Sanchez,Personal Development,17.0,5.0,,,,
Daniel Robinson,Personal Development,13.0,5.0,,,,
Donna Smith,Arts and Humanities,15.0,5.0,,,,
Daniel Jackson,Math and Logic,16.0,7.0,,,,
Andrew Jones,Social Sciences,12.0,0.0,,,,
Andrew Miller,Language Learning,14.0,2.0,,,,
Ashley Moore,Math and Logic,16.0,0.0,,,,
Karen Garcia,Personal Development,12.0,0.0,,,,
Ashley Johnson,Personal Development,14.0,6.0,,,,
Jennifer Johnson,Math and Logic,15.0,1.0,,,,
Joseph Martin,Math and Logic,16.0,7.0,,,,
Joseph Smith,Information Technology,12.0,4.0,,,,
Kimberly Thomas,Computer Science,16.0,1.0,,,,
James Hernandez,Language Learning,16.0,3.0,,,,
Michelle Miller,Social Sciences,14.0,6.0,,,,
William Hernandez,Data Science,14.0,4.0,,,,
Barbara Robinson,Language Learning,16.0,4.0,,,,
Christopher Johnson,Physical Science and Engineering,16.0,5.0,,,,
Mary Jones,Personal Development,18.0,9.0,,,,
Donna Thompson,Arts and Humanities,17.0,4.0,,,,
Elizabeth Harris,Math and Logic,17.0,7.0,,,,
Linda Ramirez,Personal Development,15.0,6.0,,,,
Kimberly Ramirez,Health,13.0,1.0,,,,
Lisa Williams,Data Science,15.0,2.0,,,,
Lisa Thompson,Physical Science and Engineering,18.0,1.0,,,,
Betty Jackson,Personal Development,16.0,8.0,,,,
Michael Hernandez,Computer Science,13.0,9.0,,,,
Karen Hernandez,Social Sciences,16.0,3.0,,,,
William Garcia,Business,14.0,10.0,,,,
Margaret Sanchez,Language Learning,16.0,9.0,,,,
Ashley Lee,Social Sciences,16.0,1.0,,,,
Christopher Garcia,Personal Development,15.0,10.0,,,,
Emily Thompson,Personal Development,15.0,2.0,,,,
Michelle Sanchez,Health,13.0,7.0,,,,
Daniel Davis,Data Science,16.0,10.0,,,,
Donna Clark,Health,12.0,0.0,,,,
Barbara Gonzalez,Computer Science,18.0,6.0,,,,
Karen White,Data Science,13.0,5.0,,,,
Charles Jones,Health,12.0,0.0,,,,
Barbara White,Social Sciences,17.0,7.0,,,,
James Thompson,Data Science,15.0,6.0,,,,
Andrew Gonzalez,Arts and Humanities,15.0,1.0,,,,
Andrew Johnson,Arts and Humanities,12.0,2.0,,,,
Barbara Martin,Personal Development,13.0,2.0,,,,
Christopher Robinson,Language Learning,13.0,2.0,,,,
Michelle Davis,Business,16.0,8.0,,,,
Andrew Brown,Arts and Humanities,15.0,10.0,,,,
Ashley Jones,Personal Development,17.0,3.0,,,,
Nancy White,Business,12.0,10.0,,,,
Robert Davis,Language Learning,13.0,10.0,,,,
Daniel Hernandez,Information Technology,12.0,0.0,,,,
David Lee,Data Science,17.0,5.0,,,,
Jennifer Clark,Arts and Humanities,18.0,6.0,,,,
Nancy Anderson,Math and Logic,17.0,4.0,,,,
James Rodriguez,Computer Science,16.0,4.0,,,,
Susan Davis,Information Technology,12.0,6.0,,,,
Robert Lopez,Arts and Humanities,17.0,8.0,,,,
Thomas Sanchez,Business,18.0,5.0,,,,
Michael White,Math and Logic,14.0,3.0,,,,
James Johnson,Information Technology,17.0,10.0,,,,
Matthew Anderson,Data Science,12.0,0.0,,,,
Anthony Garcia,Health,16.0,4.0,,,,
Anthony Thomas,Social Sciences,18.0,5.0,,,,
Matthew Lopez,Language Learning,16.0,5.0,,,,
Paul Gonzalez,Health,12.0,5.0,,,,
Michael Clark,Language Learning,13.0,5.0,,,,
Donald Sanchez,Personal Development,16.0,9.0,,,,
Andrew Lee,Health,17.0,5.0,,,,
Joseph Garcia,Physical Science and Engineering,18.0,0.0,,,,
Mark Williams,Math and Logic,16.0,2.0,,,,
John Martinez,Math and Logic,16.0,6.0,,,,
Mary Hernandez,Personal Development,17.0,3.0,,,,
Thomas Brown,Physical Science and Engineering,15.0,5.0,,,,
Robert Hernandez,Math and Logic,18.0,6.0,,,,
David Lewis,Health,17.0,0.0,,,,
Matthew Garcia,Language Learning,18.0,7.0,,,,
Robert Moore,Data Science,18.0,7.0,,,,
Jennifer Hernandez,Math and Logic,12.0,7.0,,,,
Joshua Martin,Language Learning,16.0,8.0,,,,
Donald Thompson,Business,18.0,9.0,,,,
Mary Wilson,Social Sciences,13.0,10.0,,,,
David Martin,Business,18.0,4.0,,,,
Margaret Garcia,Physical Science and Engineering,18.0,3.0,,,,
Patricia Brown,Arts and Humanities,12.0,3.0,,,,
Nancy Miller,Math and Logic,17.0,10.0,,,,
Richard Wilson,Computer Science,18.0,2.0,,,,
Emily White,Data Science,15.0,7.0,,,,
Paul Rodriguez,Personal Development,12.0,6.0,,,,
Charles Martinez,Personal Development,15.0,3.0,,,,
Jessica Brown,Arts and Humanities,15.0,9.0,,,,
Patricia Gonzalez,Physical Science and Engineering,17.0,9.0,,,,
Andrew Moore,Business,18.0,0.0,,,,
Ashley Jones,Language Learning,18.0,4.0,,,,
Patricia Lopez,Data Science,16.0,10.0,,,,
James Wilson,Arts and Humanities,12.0,6.0,,,,
Jennifer Martinez,Personal Development,18.0,0.0,,,,
Joshua Thomas,Physical Science and Engineering,12.0,0.0,,,,
Richard Brown,Language Learning,12.0,8.0,,,,
Mary Miller,Math and Logic,15.0,2.0,,,,
David Lee,Data Science,16.0,3.0,,,,
Charles Williams,Arts and Humanities,13.0,6.0,,,,
Donald Ramirez,Math and Logic,13.0,9.0,,,,
Linda Martinez,Social Sciences,15.0,6.0,,,,
Betty Thomas,Computer Science,18.0,10.0,,,,
Ashley Lewis,Language Learning,13.0,2.0,,,,
Thomas Williams,Arts and Humanities,16.0,6.0,,,,
Paul Gonzalez,Personal Development,16.0,9.0,,,,
Barbara Lopez,Arts and Humanities,13.0,0.0,,,,
Matthew Lopez,Physical Science and Engineering,15.0,2.0,,,,
Barbara Anderson,Arts and Humanities,16.0,10.0,,,,
John Rodriguez,Math and Logic,16.0,2.0,,,,
Mark Anderson,Computer Science,13.0,2.0,,,,
Thomas Davis,Health,13.0,0.0,,,,
Sarah Jackson,Business,14.0,9.0,,,,
Patricia Jones,Language Learning,17.0,7.0,,,,
Michael Williams,Information Technology,16.0,5.0,,,,
Daniel Sanchez,Arts and Humanities,17.0,5.0,,,,
Paul Wilson,Computer Science,18.0,10.0,,,,
Donna Davis,Math and Logic,15.0,0.0,,,,
Emily Johnson,Math and Logic,17.0,6.0,,,,
Matthew Clark,Data Science,14.0,1.0,,,,
Kimberly Wilson,Health,16.0,7.0,,,,
Paul Perez,Language Learning,15.0,9.0,,,,
Donald Jackson,Physical Science and Engineering,12.0,0.0,,,,
Jessica Thomas,Personal Development,13.0,6.0,,,,
Karen Williams,Physical Science and Engineering,17.0,10.0,,,,
Betty Lewis,Computer Science,14.0,7.0,,,,
John Taylor,Social Sciences,12.0,0.0,,,,
Andrew Lewis,Health,15.0,1.0,,,,
Kimberly Sanchez,Social Sciences,15.0,5.0,,,,
Andrew Perez,Arts and Humanities,14.0,10.0,,,,
Michelle Jones,Language Learning,15.0,1.0,,,,
Linda Harris,Data Science,16.0,2.0,,,,
Mark Garcia,Health,16.0,0.0,,,,
David Miller,Personal Development,15.0,0.0,,,,
Richard Jones,Social Sciences,18.0,3.0,,,,
John Wilson,Language Learning,16.0,9.0,,,,
Jennifer Perez,Social Sciences,18.0,3.0,,,,
Margaret Miller,Math and Logic,17.0,4.0,,,,
Elizabeth Clark,Business,18.0,4.0,,,,
Joshua Rodriguez,Business,13.0,9.0,,,,
Christopher Robinson,Data Science,13.0,0.0,,,,
Robert Williams,Information Technology,14.0,7.0,,,,
Matthew Moore,Health,14.0,6.0,,,,
Betty Moore,Business,17.0,9.0,,,,
Christopher Ramirez,Business,15.0,7.0,,,,
Sarah Taylor,Math and Logic,12.0,2.0,,,,
Sandra Robinson,Language Learning,18.0,1.0,,,,
James Sanchez,Arts and Humanities,15.0,6.0,,,,
Michelle Jackson,Personal Development,15.0,2.0,,,,
Kimberly Sanchez,Arts and Humanities,13.0,1.0,,,,
Anthony Brown,Arts and Humanities,17.0,8.0,,,,
Anthony Jones,Computer Science,12.0,10.0,,,,
Elizabeth Jackson,Business,18.0,3.0,,,,
Donna Jackson,Computer Science,13.0,10.0,,,,
Michael Robinson,Arts and Humanities,18.0,3.0,,,,
Michael Jackson,Language Learning,18.0,10.0,,,,
Michael Sanchez,Health,17.0,3.0,,,,
Charles Ramirez,Computer Science,13.0,9.0,,,,
Paul Lewis,Computer Science,12.0,10.0,,,,
Daniel Lewis,Math and Logic,14.0,1.0,,,,
Anthony Rodriguez,Health,14.0,9.0,,,,
Matthew Lee,Personal Development,14.0,2.0,,,,
Ashley Jackson,Physical Science and Engineering,17.0,9.0,,,,
Joshua Thomas,Business,12.0,6.0,,,,
John Garcia,Business,17.0,10.0,,,,
Sarah Gonzalez,Computer Science,18.0,9.0,,,,
Elizabeth Martin,Arts and Humanities,18.0,2.0,,,,
Joshua Perez,Language Learning,14.0,1.0,,,,
Betty Johnson,Business,15.0,0.0,,,,
Betty Lewis,Personal Development,17.0,5.0,,,,
Nancy Thompson,Math and Logic,12.0,3.0,,,,
Jessica Johnson,Social Sciences,14.0,0.0,,,,
Donald Robinson,Computer Science,13.0,7.0,,,,
Sarah Lewis,Social Sciences,17.0,1.0,,,,
Lisa Smith,Math and Logic,12.0,2.0,,,,
Nancy Clark,Personal Development,16.0,2.0,,,,
Karen Martinez,Computer Science,15.0,6.0,,,,
Sarah Clark,Physical Science and Engineering,16.0,0.0,,,,
Ashley Ramirez,Business,16.0,0.0,,,,
Michael Ramirez,Information Technology,17.0,8.0,,,,
Joseph Jones,Arts and Humanities,17.0,2.0,,,,
Karen White,Data Science,13.0,2.0,,,,
Mark Harris,Math and Logic,16.0,8.0,,,,
Christopher Rodriguez,Language Learning,14.0,3.0,,,,
Anthony Martin,Health,17.0,10.0,,,,
Jennifer Miller,Personal Development,18.0,7.0,,,,
Mark Miller,Information Technology,14.0,7.0,,,,
Anthony White,Math and Logic,14.0,4.0,,,,
Ashley Harris,Arts and Humanities,12.0,2.0,,,,
Kimberly Ramirez,Math and Logic,14.0,7.0,,,,
Lisa Clark,Data Science,14.0,0.0,,,,
Patricia Taylor,Business,16.0,5.0,,,,
David Williams,Physical Science and Engineering,16.0,4.0,,,,
Karen Thompson,Health,13.0,9.0,,,,
Steven Gonzalez,Math and Logic,12.0,8.0,,,,
William Harris,Social Sciences,12.0,5.0,,,,
Kimberly Lewis,Social Sciences,14.0,7.0,,,,
Andrew Smith,Business,12.0,8.0,,,,
Barbara Miller,Information Technology,14.0,8.0,,,,
Richard Clark,Information Technology,15.0,7.0,,,,
Patricia Davis,Information Technology,12.0,2.0,,,,
John Anderson,Personal Development,17.0,8.0,,,,
Patricia Robinson,Social Sciences,17.0,2.0,,,,
Lisa Thompson,Arts and Humanities,12.0,0.0,,,,
Richard Rodriguez,Data Science,18.0,6.0,,,,
Lisa Clark,Business,13.0,3.0,,,,
Sandra Taylor,Information Technology,13.0,2.0,,,,
Betty Lee,Data Science,17.0,2.0,,,,
Linda Perez,Arts and Humanities,18.0,10.0,,,,
Mary Davis,Arts and Humanities,14.0,8.0,,,,
Lisa Thomas,Math and Logic,18.0,0.0,,,,
Joshua Anderson,Data Science,12.0,1.0,,,,
Barbara Ramirez,Personal Development,13.0,2.0,,,,
Donald Jackson,Data Science,15.0,6.0,,,,
Emily Lopez,Physical Science and Engineering,16.0,9.0,,,,
Daniel Garcia,Business,15.0,8.0,,,,
Thomas White,Language Learning,12.0,0.0,,,,
Jennifer Martinez,Computer Science,14.0,4.0,,,,
Mary Gonzalez,Information Technology,17.0,4.0,,,,
Patricia Garcia,Math and Logic,18.0,6.0,,,,
Andrew Harris,Information Technology,15.0,6.0,,,,
Susan Ramirez,Arts and Humanities,18.0,5.0,,,,
Joseph Lee,Business,18.0,8.0,,,,
Joseph Perez,Data Science,16.0,9.0,,,,
Susan Rodriguez,Personal Development,16.0,5.0,,,,
Anthony Taylor,Personal Development,12.0,2.0,,,,
Mary Ramirez,Computer Science,17.0,4.0,,,,
James Thomas,Social Sciences,12.0,7.0,,,,
William Lee,Business,16.0,6.0,,,,
Barbara Martin,Arts and Humanities,17.0,0.0,,,,
James Davis,Language Learning,15.0,9.0,,,,
Thomas Martin,Math and Logic,18.0,6.0,,,,
Karen Thompson,Language Learning,15.0,0.0,,,,
Sarah Wilson,Social Sciences,16.0,10.0,,,,
Matthew Ramirez,Computer Science,15.0,6.0,,,,
Daniel Anderson,Health,16.0,4.0,,,,
Thomas Miller,Health,12.0,7.0,,,,
Sandra Martinez,Health,18.0,2.0,,,,
Kimberly Clark,Information Technology,13.0,10.0,,,,
Michelle Gonzalez,Health,13.0,4.0,,,,
Donna Brown,Computer Science,17.0,5.0,,,,
James Taylor,Data Science,14.0,2.0,,,,
Lisa Moore,Physical Science and Engineering,18.0,5.0,,,,
Joshua Martin,Physical Science and Engineering,18.0,7.0,,,,
Charles Martinez,Data Science,17.0,3.0,,,,
Michael Thomas,Health,14.0,7.0,,,,
Robert Hernandez,Physical Science and Engineering,14.0,8.0,,,,
Sarah Lee,Arts and Humanities,15.0,7.0,,,,
Christopher Ramirez,Computer Science,16.0,4.0,,,,
Sarah Rodriguez,Information Technology,14.0,7.0,,,,
Karen Miller,Language Learning,14.0,7.0,,,,
Elizabeth Taylor,Computer Science,15.0,8.0,,,,
Jessica Lewis,Information Technology,15.0,8.0,,,,
Patricia Sanchez,Business,16.0,4.0,,,,
Joshua Gonzalez,Health,18.0,0.0,,,,
Christopher Perez,Data Science,14.0,7.0,,,,
William White,Math and Logic,12.0,0.0,,,,
Mary Lee,Computer Science,18.0,9.0,,,,
Ashley Martinez,Computer Science,13.0,4.0,,,,
Thomas Robinson,Personal Development,18.0,6.0,,,,
Anthony Gonzalez,Data Science,18.0,5.0,,,,
Matthew White,Business,15.0,7.0,,,,
John Jackson,Arts and Humanities,17.0,7.0,,,,
Andrew Clark,Computer Science,18.0,7.0,,,,
Richard Hernandez,Health,15.0,0.0,,,,
Joseph Perez,Arts and Humanities,14.0,6.0,,,,
Paul Lee,Health,18.0,1.0,,,,
Donald Robinson,Language Learning,12.0,2.0,,,,
Daniel Taylor,Math and Logic,12.0,9.0,,,,
Karen Ramirez,Physical Science and Engineering,15.0,8.0,,,,
David Clark,Data Science,13.0,8.0,,,,
Emily Garcia,Information Technology,13.0,9.0,,,,
Charles Brown,Information Technology,16.0,7.0,,,,
Donald Jones,Language Learning,14.0,2.0,,,,
Thomas White,Personal Development,15.0,8.0,,,,
Emily Harris,Physical Science and Engineering,13.0,4.0,,,,
Barbara Perez,Arts and Humanities,18.0,2.0,,,,
Nancy Lee,Computer Science,15.0,6.0,,,,
Jennifer Davis,Health,16.0,8.0,,,,
Daniel Davis,Health,17.0,0.0,,,,
Karen Wilson,Information Technology,13.0,9.0,,,,
Nancy Lopez,Computer Science,18.0,2.0,,,,
Thomas Jackson,Math and Logic,12.0,8.0,,,,
Charles Anderson,Language Learning,14.0,2.0,,,,
Linda Thomas,Social Sciences,16.0,6.0,,,,
Patricia Ramirez,Social Sciences,15.0,10.0,,,,
